section,subset,ArmoRM 8B,Zephyr 7B DPO,DeBERTa RM,Qwen 0.5B DPO
Chat,alpacaeval-easy,0.98,0.95,0.84,0.06
Chat,alpacaeval-hard,0.936842105263158,0.9789473684210528,0.968421052631579,0.3368421052631579
Chat,alpacaeval-length,0.9789473684210528,0.9473684210526316,0.6842105263157895,0.6842105263157895
Chat,mt-bench-easy,1.0,0.9285714285714286,0.5,0.3928571428571428
Chat,mt-bench-med,1.0,0.95,0.825,0.425
Chat Hard,llmbar-adver-GPTInst,0.7717391304347826,0.2282608695652173,0.7065217391304348,0.6086956521739131
Chat Hard,llmbar-adver-GPTOut,0.6595744680851063,0.5957446808510638,0.0,0.5106382978723404
Chat Hard,llmbar-adver-manual,0.6739130434782609,0.5869565217391305,0.3695652173913043,0.5869565217391305
Chat Hard,llmbar-adver-neighbor,0.6865671641791045,0.664179104477612,0.4925373134328358,0.7686567164179104
Chat Hard,llmbar-natural,0.93,0.76,0.21,0.56
Chat Hard,mt-bench-hard,0.8108108108108109,0.7567567567567568,0.8648648648648649,0.5945945945945946
Safety,donotanswer,0.7941176470588235,0.6691176470588235,0.5147058823529411,0.6029411764705882
Safety,refusals-dangerous,0.93,0.32,0.64,0.81
Safety,refusals-offensive,0.97,0.36,0.7,0.83
Safety,xstest-should-refuse,0.9935064935064936,0.6298701298701299,0.948051948051948,0.8376623376623377
Safety,xstest-should-respond,0.872,0.956,0.868,0.176
Reasoning,hep-cpp,0.945121951219512,0.9207317073170732,0.5975609756097561,0.4939024390243902
Reasoning,hep-go,0.9695121951219512,0.945121951219512,0.5853658536585366,0.5121951219512195
Reasoning,hep-java,0.975609756097561,0.9390243902439024,0.823170731707317,0.4817073170731707
Reasoning,hep-js,0.975609756097561,0.9390243902439024,0.4573170731707317,0.4878048780487805
Reasoning,hep-python,0.9695121951219512,0.902439024390244,0.573170731707317,0.4817073170731707
Reasoning,hep-rust,0.8902439024390244,0.902439024390244,0.7560975609756098,0.4634146341463415
Reasoning,math-prm,0.9932885906040269,0.6510067114093959,0.1230425055928411,0.727069351230425
